tree.species;species.code;value.level;process.type;A;tw;zm;min.dq;max.dq
birch;410;1;harvester;0,6371504;12,1348846;0,04593419;10;40
birch;410;1;combined;0,6499181;11,99032101;0,04106075;10;60
birch;410;1;manually;0,6559561;14,55285544;0,0413642;10;60
birch;410;2;harvester;0,6016744;12,24951627;0,03836237;10;40
birch;410;2;combined;0,6040864;12,30282076;0,03666754;10;60
birch;410;2;manually;0,6078449;14,74294527;0,0370053;10;60
birch;410;3;harvester;0,5634741;12,14560531;0,03454209;10;40
birch;410;3;combined;0,5891157;12,34888644;0,02972165;10;60
birch;410;3;manually;0,5832684;14,97402651;0,03539745;10;60
beech;211;1;harvester;0,8154519;9,657693213;0,04396363;10;40
beech;211;1;combined;0,7854937;9,416658013;0,04461861;10;80
beech;211;1;manually;0,7836633;11,94990078;0,04698991;10;80
beech;211;2;harvester;0,7415941;11,4684181;0,04151313;10;40
beech;211;2;combined;0,7643841;11,46760127;0,03761736;10;80
beech;211;2;manually;0,7663753;13,83634888;0,04131773;10;80
beech;211;3;harvester;0,7224814;10,38759981;0,03842905;10;40
beech;211;3;combined;0,7068928;10,08640811;0,03709688;10;80
beech;211;3;manually;0,7068901;12,79424235;0,04050706;10;80
Douglas fir;611;1;harvester;0,7343299;-0,005688156;0,03651656;10;70
Douglas fir;611;1;combined;0,7469184;-2,919219837;0,02873802;10;70
Douglas fir;611;1;manually;0,7436941;9,04742186;0,04989573;10;70
Douglas fir;611;2;harvester;0,702605;8,306185475;0,1465175;10;70
Douglas fir;611;2;combined;0,6991107;8,250656119;0,14820883;10;70
Douglas fir;611;2;manually;0,6966958;9,419598507;0,05739039;10;70
Douglas fir;611;3;harvester;0,6616486;8,218473361;0,15420994;10;70
Douglas fir;611;3;combined;0,6569575;8,394896177;0,17902063;10;70
Douglas fir;611;3;manually;0,6521864;9,900074825;0,06660941;10;70
oak;110;1;harvester;0,6423169;11,80047949;0,05140286;10;40
oak;110;1;combined;0,6774763;11,88488018;0,03917211;10;80
oak;110;1;manually;0,6810122;14,05915917;0,03700777;10;80
oak;110;2;harvester;0,6523316;12,508191;0,04157659;10;40
oak;110;2;combined;0,6736457;12,4545816;0,03599243;10;80
oak;110;2;manually;0,6788366;14,74798426;0,03723107;10;80
oak;110;3;harvester;0,5628628;11,69680501;0,05104423;10;40
oak;110;3;combined;0,6333577;11,73681062;0,03034056;10;80
oak;110;3;manually;0,6353565;15,8162504;0,03080363;10;80
alder;421;1;harvester;0,6435725;12,44074812;0,0497797;10;40
alder;421;1;combined;0,6434203;12,42397051;0,04700656;10;60
alder;421;1;manually;0,6428319;11,86995597;0,04372947;10;60
alder;421;2;harvester;0,6455383;13,39270064;0,04018272;10;40
alder;421;2;combined;0,6207417;13,03841061;0,04233699;10;60
alder;421;2;manually;0,6239088;12,86241141;0,03930562;10;60
alder;421;3;harvester;0,6300047;13,14646705;0,03784666;10;40
alder;421;3;combined;0,6277276;13,35690565;0,0360251;10;60
alder;421;3;manually;0,6328756;13,47973502;0,0307917;10;60
ash;311;1;harvester;0,7097617;10,87751074;0,04927427;10;40
ash;311;1;combined;0,6989612;10,80833177;0,04686698;10;70
ash;311;1;manually;0,6982945;10,33670158;0,04835366;10;70
ash;311;2;harvester;0,6960714;10,55072322;0,0561255;10;40
ash;311;2;combined;0,7031699;10,67523505;0,05108736;10;70
ash;311;2;manually;0,7011256;11,52831485;0,058267;10;70
ash;311;3;harvester;0,6889486;11,21903168;0,04307566;10;40
ash;311;3;combined;0,6551111;11,18478959;0,04912546;10;70
ash;311;3;manually;0,6572033;12,09348889;0,0477883;10;70
spruce;511;1;harvester;0,7691425;5,149875886;0,06807469;10;70
spruce;511;1;combined;0,7699574;4,36255911;0,05759159;10;70
spruce;511;1;manually;0,7711961;8,129042029;0,0575452;10;70
spruce;511;2;harvester;0,7672461;2,161296975;0,03909745;10;70
spruce;511;2;combined;0,7687503;0,346305273;0,0343476;10;70
spruce;511;2;manually;0,7503479;8,650912464;0,05406237;10;70
spruce;511;3;harvester;0,7470989;4,560919334;0,04915015;10;70
spruce;511;3;combined;0,7480552;3,511321632;0,04488075;10;70
spruce;511;3;manually;0,7475731;8,426092155;0,04453621;10;70
pine;711;1;harvester;0,7673131;4,019266882;0,03628652;10;70
pine;711;1;combined;0,7703095;4,200089086;0,0387246;10;70
pine;711;1;manually;0,7625524;9,72658709;0,04439521;10;70
pine;711;2;harvester;0,771527;5,851178095;0,03921933;10;70
pine;711;2;combined;0,7771801;5,952454495;0,03774648;10;70
pine;711;2;manually;0,7668642;10,71446061;0,04370379;10;70
pine;711;3;harvester;0,7492644;6,19497416;0,03118407;10;70
pine;711;3;combined;0,7384182;6,254890057;0,03262387;10;70
pine;711;3;manually;0,7254711;11,00288831;0,03784668;10;70
larch;811;1;harvester;0,6718029;9,683320585;0,0640191;10;70
larch;811;1;combined;0,6764472;9,585243897;0,06072193;10;70
larch;811;1;manually;0,6816705;9,938069673;0,05563967;10;70
larch;811;2;harvester;0,640809;8,94804163;0,0616587;10;70
larch;811;2;combined;0,643697;8,749709664;0,06498898;10;70
larch;811;2;manually;0,6488801;9,27412721;0,05203719;10;70
larch;811;3;harvester;0,6352352;9,804587111;0,06366782;10;70
larch;811;3;combined;0,6283927;9,466172868;0,06310003;10;70
larch;811;3;manually;0,6255202;10,01983431;0,05077707;10;70
poplar;430;1;harvester;0,652219;9,968690886;0,05571378;10;40
poplar;430;1;combined;0,6292375;10,00774523;0,06631346;10;70
poplar;430;1;manually;0,6297356;12,05502027;0,05159541;10;70
poplar;430;2;harvester;0,6395173;10,26079203;0,05870803;10;40
poplar;430;2;combined;0,6232203;10,04697929;0,0524904;10;70
poplar;430;2;manually;0,6226544;12,05654399;0,05105516;10;70
poplar;430;3;harvester;0,594667;10,18560376;0,04617875;10;40
poplar;430;3;combined;0,5818819;10,26386227;0,04609516;10;70
poplar;430;3;manually;0,5782833;12,1421366;0,04730693;10;70
